Record Id;Nombre de Oportunidad;Sublínea;Familia de producto; VALORUSD 
4592454000427440000;COTIZACION FERTILIZ. ENERO 2026;NORTE MEDIO AGRO;NITRATO DE CALCIO SOLUBLE; 18,900 
4592454000200430000;LECHE ENTERA;Food;LECHE ENTERA; 18,800 
4592454000269600000;NITRATO DE MG | AGROINCA;SUR GRANDE AGRO;NITRATO DE MAGNESIO; 18,800 
4592454000275330000;Licitacion anual;SUR MEDIO AGRO;SULFATO DE POTASIO SOLUBLE; 18,693 
4592454000224130000;Cotización de fertilizantes noviembre- diciembre;NORTE MEDIO AGRO;NITRATO DE CALCIO SOLUBLE; 18,400 
4592454000225000000;cotizacion noviembre;SUR MEDIO AGRO;FOSFATO MONOAMONICO SOLUBLE; 18,200 
4592454000230340000;COTIZACION DE NAM Y NMG;SUR MEDIO AGRO;NITRATO DE MAGNESIO; 18,150 
4592454000256210000;ACIDO CITRICO ENSIGN 20 TM;Food;ACIDO CITRICO; 18,000 
4592454000183320000;AC. CITRICO RZBC;Food;ACIDO CITRICO; 18,000 
4592454000275330000;Licitacion anual;SUR MEDIO AGRO;SULFATO DE POTASIO SOLUBLE; 17,833 
4592454000208460000;LECHE DESCREMADA 6TN;Food;LECHE DESCREMADA; 17,820 
4592454000275330000;Licitacion anual;SUR MEDIO AGRO;SULFATO DE POTASIO SOLUBLE; 17,612 
4592454000210850000;Propuesta- CYNARA;SUR CHICO AGRO;NPK GRANULADO; 17,500 
4592454000436040000;GELATINA (Gelnex ) - ABRIL 2026 - CNCH;Food;GELATINA 280; 17,400 
4592454000291940000;COTIZACION AGOSTO;SUR MEDIO AGRO;SULFATO DE POTASIO GRANULAR; 17,355 
4592454000197880000;SOLUBLES SGM 81.875 TM;SUR MEDIO AGRO;SULFATO DE MAGNESIO HEPTA; 17,194 
4592454000205550000;SAL REFINADA - SEPTIEMBRE24- 90TM - 190/TM - A & H TRADING S.R.L.;Textil;SAL REFINADA; 17,100 
4592454000205550000;SAL REFINADA - OCTUBRE24- 90TM - 190/TM - A & H TRADING S.R.L.;Textil;SAL REFINADA; 17,100 
4592454000205550000;SAL REFINADA - NOVIEMBRE24- 90TM - 190/TM - A & H TRADING S.R.L.;Textil;SAL REFINADA; 17,100 
4592454000230340000;COTIZACION DE NAM Y NMG;SUR MEDIO AGRO;NITRATO DE AMONIO; 16,960 
4592454000226380000;cotizacion noviembre;SUR MEDIO AGRO;SULFATO DE POTASIO SOLUBLE; 16,940 
4592454000180480000;GELATINA BLOOM 280;Food;GELATINA 280; 16,800 
4592454000282110000;20 TN - PEROXIDO DE HIDROGENO 50%;NORTE GRANDE AGRO;PEROXIDO DE HIDROGENO 50%; 16,700 
4592454000228820000;COTIZACION DICIEMBRE-ENERO;SUR MEDIO AGRO;NITRATO DE POTASIO SOLUBLE; 16,500 
4592454000200740000;OXIDO DE MAGNESIO 120 TM;Feed;OXIDO DE MAGNESIO; 16,425 
4592454000284610000;Previsión SMG MONO- CYNARA;SUR CHICO AGRO;SULFATO DE MAGNESIO MONO; 16,200 
4592454000219750000;COTIZACION OCTUBRE;SUR MEDIO AGRO;SULFATO DE AMONIO ESTANDAR; 16,095 
4592454000243090000;ALMIDON DE MAIZ;Food;ALMIDON DE MAIZ; 16,000 
4592454000294950000;REQ ESPECIALIDADES;SUR MEDIO AGRO;NPK SOLUBLE; 16,000 
4592454000187500000;SODA CAUSTICAS PERLAS;Food;SODA CAUSTICA PERLAS; 16,000 
4592454000294950000;REQ MONASTERIO ESPECIALIDADES;SUR MEDIO AGRO;NPK SOLUBLE; 16,000 
4592454000226380000;cotizacion noviembre;SUR MEDIO AGRO;NITRATO DE AMONIO; 15,900 
4592454000225000000;cotizacion noviembre;SUR MEDIO AGRO;NITRATO DE MAGNESIO; 15,840 
4592454000294370000;LECHE DESCREMADA 5 TM SET;Food;LECHE DESCREMADA; 15,800 
4592454000293910000;LECHE DESCREMADA 5 TM;Food;LECHE DESCREMADA; 15,800 
4592454000229630000;META - NOV24- 60TM;Químicos;METABISULFITO DE SODIO; 15,750 
4592454000174920000;LECHE DESCREMADA;Food;LECHE DESCREMADA; 15,500 
4592454000175200000;LECHE DESCREMADA MAR 24 - 5 TM;Food;LECHE DESCREMADA; 15,500 
4592454000424700000;COLÁGENO - ENE - FEB - 2026 - FT;Food;COLAGENO HIDROLIZADO; 15,400 
4592454000183470000;OXIDO DE MAGNESIO FEED;Feed;OXIDO DE MAGNESIO; 15,300 
4592454000206580000;SOLUBLES - AGOSTO;CENTRO;CLORURO DE POTASIO ESTANDAR; 15,300 
4592454000226380000;cotizacion 2 semestre;SUR MEDIO AGRO;NITRATO DE CALCIO GRANULAR; 15,145 
4592454000179540000;MAGROPLEX - ABRIL - POBERRIES;CENTRO;NPK GRANULADO; 15,130 
4592454000201510000;Req. Julio - Vector Agriculture;SUR CHICO AGRO;FOSFATO MONOAMONICO SOLUBLE; 15,000 
4592454000225890000;Req. Recoge - TESLA TEC;SUR CHICO AGRO;SULFATO DE AMONIO ESTANDAR; 14,820 
4592454000207490000;BICABORNATO NOV-DIC;Feed;BICARBONATO DE SODIO; 14,700 
4592454000160750000;OXIDO DE MAGNESIO ENERO-FEB-MARZO;Feed;OXIDO DE MAGNESIO; 14,700 
4592454000292010000;cotizacion extra agosto;SUR MEDIO AGRO;SULFATO DE POTASIO SOLUBLE; 14,110 
4592454000294950000;COT SETIEMBRE;SUR MEDIO AGRO;SULFATO DE POTASIO SOLUBLE; 14,110 
4592454000219750000;COTIZACION OCTUBRE;SUR MEDIO AGRO;SULFATO DE MAGNESIO HEPTA; 13,846 
4592454000259570000;Req.Abril. - Agr. Santa Lucía/Doña Luisa;SUR CHICO AGRO;NITRATO DE POTASIO SOLUBLE; 13,780 
4592454000183420000;Oxido de magnesio 35 TM;Feed;OXIDO DE MAGNESIO; 13,650 
4592454000231630000;leche descremada;Food;LECHE DESCREMADA; 13,650 
4592454000187060000;BICARBONATO DE SODIO - 2024;Food;BICARBONATO DE SODIO; 13,500 
4592454000213750000;requerimiento setiembre;CENTRO;ACIDO FOSFORICO FG; 13,500 
4592454000229720000;cotizacion noviembre - NICA;SUR MEDIO AGRO;NITRATO DE CALCIO SOLUBLE; 13,400 
4592454000220010000;COTIZACION SULFATO DE MAGNESIO;NORTE MEDIO AGRO;SULFATO DE MAGNESIO HEPTA; 13,200 
4592454000225000000;cotizacion de NMG;SUR MEDIO AGRO;NITRATO DE MAGNESIO; 13,200 
4592454000207420000;Bicarbonato sodio SET-OCT;Feed;BICARBONATO DE SODIO; 13,050 
4592454000252860000;Req. FEB II. - Agr. Santa Lucía/Doña Luisa;SUR CHICO AGRO;NITRATO DE POTASIO SOLUBLE; 13,038 
4592454000284240000;F Monoamónico;SUR GRANDE AGRO;FOSFATO MONOAMONICO SOLUBLE; 13,000 
4592454000215550000;REQUERIMIENTO DE SOLUBLES OCTUBRE;SUR MEDIO AGRO;FOSFATO MONOAMONICO SOLUBLE; 13,000 
4592454000449260000;LECHE DESCREMDA 3 TM;Food;LECHE DESCREMADA; 12,900 
4592454000223340000;Req Nov-Dic - SAFRESCO (Chincha);SUR CHICO AGRO;NITRATO DE CALCIO SOLUBLE; 12,750 
4592454000183100000;LECHE ENTERA;Food;LECHE ENTERA; 12,750 
4592454000281090000;MAGROPLEX Junio - AGROMIN;SUR CHICO AGRO;NPK GRANULADO; 12,750 
4592454000170360000;ACIDO ASCORBICO;Food;ACIDO ASCORBICO; 12,750 
4592454000220340000;COTIZACION SOP // SULFATO DE MAGNESIO;NORTE MEDIO AGRO;SULFATO DE POTASIO SOLUBLE; 12,750 
4592454000449260000;LECHE DESCREMADA 3 TM;Food;LECHE DESCREMADA; 12,750 
4592454000288810000;Campaña 2025 - 3 -AGR. WIDOK;SUR CHICO AGRO;MICRONUTRIENTES; 12,750 
4592454000294370000;LECHE DESCREMADA SET 4TM;Food;LECHE DESCREMADA; 12,640 
4592454000293300000;COT. SETIEMBRE LARAN;SUR CHICO AGRO;NITRATO DE CALCIO SOLUBLE; 12,600 
4592454000213750000;requerimiento setiembre;CENTRO;NITRATO DE CALCIO SOLUBLE; 12,540 
4592454000275330000;Licitacion anual;SUR MEDIO AGRO;SULFATO DE POTASIO SOLUBLE; 12,504 
4592454000211130000;BICARBONATO DE SODIO 2.5 TM MALAN SEPTIEMBRE;Food;BICARBONATO DE SODIO; 12,500 
